"p_ds" "ID_cluster" "ID_points"
3 62 25497619
3 63 2398924843
3 63 25500427
3 63 20965799
3 64 7617785713
3 64 25503845
3 65 25503880
3 65 7617755274
3 66 25504144
3 66 7607077372
3 67 25504760
3 67 4085767970
3 67 9684083971
3 68 25505618
3 68 1828402762
3 69 25505629
3 69 3704225375
3 70 2343269909
3 70 9201323564
3 70 25509525
3 71 25509533
3 71 9805219989
3 72 25532384
3 72 5238587994
3 73 5340811717
3 73 1312454061
3 73 25544110
3 73 1418752721
3 73 5340811830
3 74 27459905
3 74 1312471210
3 75 27460250
3 75 4054356847
3 76 27480957
3 76 7815143581
3 77 1014803704
3 77 28418138
3 77 3892081378
3 78 28418144
3 78 4344245893
3 79 9693971451
3 79 28418877
3 80 28800664
3 80 9693903657
3 81 1755265432
3 81 28800670
3 82 5046314073
3 82 28800671
3 83 213668842
3 83 1685272862
3 84 2140124996
3 84 249679365
3 85 3787645610
3 85 250325410
3 85 3787645607
3 86 250327576
3 86 9693628387
3 87 250327618
3 87 9030155756
3 88 250327660
3 88 338319877
3 89 251892475
3 89 5925626141
3 90 4378043667
3 90 269547419
3 90 4378043662
3 91 3076574323
3 91 275180300
3 91 446765895
3 92 302013681
3 92 4244498866
3 92 1014803691
3 93 7836155865
3 93 316763548
3 94 8785567902
3 94 321255919
3 95 350437528
3 95 5899738713
3 96 9820537944
3 96 355416890
3 96 9820537943
3 97 355416920
3 97 4298970384
3 97 4298970380
3 98 1311962082
3 98 373364228
3 98 8868824870
3 98 8868824871
3 99 419632906
3 99 8620272571
3 100 9703794696
3 100 429346241
3 100 3987750679
3 101 470727954
3 101 9197589363
3 102 25161386
3 102 473258827
3 103 632438506
3 103 20460684
3 104 690295042
3 104 9690878343
3 105 7824747303
3 105 9753609738
3 105 9753609740
3 105 9753609741
3 105 9753609742
3 105 700774224
3 106 710657963
3 106 9693963678
3 106 9693963679
3 107 761830938
3 107 1617647901
3 108 761831000
3 108 761831039
3 109 3930921860
3 109 843376599
3 110 873684193
3 110 1939632514
3 111 5146186489
3 111 950703626
3 112 3894948093
3 112 1014803686
3 113 9080098312
3 113 9080098313
3 113 1014803714
3 114 1014803736
3 114 9080098309
3 115 5257738384
3 115 1039290586
3 116 1042862696
3 116 3858880677
3 117 1150003472
3 117 9042129984
3 118 4682627266
3 118 1150003532
3 119 1238249904
3 119 1736734053
3 120 1239549084
3 120 8620105236
3 121 1280491924
3 121 8236052990
3 122 1311961947
3 122 1311962012
3 123 250549587
3 123 1312188692
3 124 1312189057
3 124 1312188722
