i,j,w
24950110,9693920803,4.542
24950110,24950111,5.294
24950110,25248114,29.265
24950111,24950110,5.294
24950111,24950112,30.951
24950112,24950064,74.451
24950112,25248126,6.22
24950112,24950111,30.951
24950113,8807431541,4.227
24950113,4077593104,17.976
24950113,2961549,15.471
24950114,8807431535,15.403
24950114,4077593104,14.981
24950115,2279592861,20.471
24950115,25161362,18.846
24950115,25161363,14.587
24950117,1721678995,11.719
24950117,316763501,6.54
24951721,1566270189,25.476
24951853,4922952373,5.419
24951853,104321,19.82
24951854,5046314040,24.925
24951854,9693760971,3.562
24951856,1215563870,8.928
24951856,1311961991,11.058
24952195,6985465124,6.523
24952196,2528522507,20.78
24952267,6166157035,2.463
24952269,5104314264,16.059
24952269,109737,2.329
25066338,5087519104,20.696
25066338,25066412,9.87
25066412,25066338,9.87
25066419,5090420614,9.157
25066419,5090420610,3.271
25066419,5090420964,9.967
25066450,1718233994,24.978
25066451,25066453,4.959
25066453,25066450,13.456
25066457,2218340965,23.677
25066461,25066462,8.548
25066462,5047029678,10.054
25066462,25066461,8.548
25066470,1938819313,8.732
25066470,1955520887,21.626
25066684,1536948581,12.474
25066687,1852997088,36.722
25066694,4866591373,4.719
25066696,9856119645,10.438
25066784,4866591374,3.668
25067068,3233714192,4.184
25067068,25067264,64.417
25067264,1569382119,10.473
25067265,2566132609,5.461
25067266,6509584414,3.974
25067267,25066687,18.851
25067268,25067269,35.397
25067269,25067307,53.812
25067304,2566132610,2.129
25067307,6967585842,5.842
25067324,5141877019,33.051
25067324,4866664736,57.858
25067324,5141877239,17.511
25067326,950703626,11.449
25067395,5146186470,9.121
25067396,5146186463,4.59
25067397,9856119646,34.905
25067398,25067427,8.008
25067398,5141625621,48.718
25067400,6369361797,12.565
25067427,25067398,8.008
25067461,5104314275,5.558
25067463,5104314353,27.478
25067463,5104314275,11.934
25067463,5104314255,6.084
25067469,25067470,8.296
25067469,5104314256,9.381
25067470,5104314384,5.841
25067470,25067469,8.296
25067473,25067479,34.698
25067473,25067476,14.588
25067473,1186508405,15.976
25067476,1951616322,16.837
25067476,25067473,14.588
25067479,25067473,34.698
25067479,1569343756,3.585
