,cluster_id0,cluster_id1,cluster_id2,cluster_id3,cluster_id4,cluster_id5,cluster_id6
103,7.0,7.0,4.0,2.0,2.0,1.0,1
104,7.0,7.0,4.0,2.0,2.0,1.0,1
105,7.0,7.0,4.0,2.0,2.0,1.0,1
106,7.0,7.0,4.0,2.0,2.0,1.0,1
107,7.0,7.0,4.0,2.0,2.0,1.0,1
108,7.0,7.0,4.0,2.0,2.0,1.0,1
109,165.0,154.0,87.0,78.0,2.0,1.0,1
110,7.0,7.0,4.0,2.0,2.0,1.0,1
111,,,,,,,1
112,65.0,63.0,37.0,33.0,2.0,1.0,1
113,119.0,110.0,62.0,55.0,2.0,1.0,1
114,119.0,110.0,62.0,55.0,2.0,1.0,1
115,24.0,22.0,2.0,2.0,2.0,1.0,1
116,7.0,7.0,4.0,2.0,2.0,1.0,1
117,7.0,7.0,4.0,2.0,2.0,1.0,1
118,165.0,154.0,87.0,78.0,2.0,1.0,1
119,32.0,30.0,4.0,2.0,2.0,1.0,1
120,13.0,13.0,8.0,7.0,2.0,1.0,1
121,13.0,13.0,8.0,7.0,2.0,1.0,1
122,13.0,13.0,8.0,7.0,2.0,1.0,1
123,32.0,30.0,4.0,2.0,2.0,1.0,1
124,229.0,213.0,91.0,82.0,69.0,61.0,1
125,13.0,13.0,8.0,7.0,2.0,1.0,1
126,2.0,2.0,2.0,2.0,2.0,1.0,1
127,2.0,2.0,2.0,2.0,2.0,1.0,1
128,2.0,2.0,2.0,2.0,2.0,1.0,1
129,2.0,2.0,2.0,2.0,2.0,1.0,1
130,2.0,2.0,2.0,2.0,2.0,1.0,1
131,13.0,13.0,8.0,7.0,2.0,1.0,1
132,168.0,157.0,4.0,2.0,2.0,1.0,1
133,2.0,2.0,2.0,2.0,2.0,1.0,1
134,163.0,152.0,2.0,2.0,2.0,1.0,1
135,163.0,152.0,2.0,2.0,2.0,1.0,1
136,163.0,152.0,2.0,2.0,2.0,1.0,1
137,229.0,213.0,91.0,82.0,69.0,61.0,1
138,8.0,8.0,4.0,2.0,2.0,1.0,1
139,168.0,157.0,4.0,2.0,2.0,1.0,1
140,40.0,38.0,4.0,2.0,2.0,1.0,1
