,Child,Parent,Child_Level,Parent_Level
104,104.0,97.0,6.0,5.0
107,162.0,151.0,6.0,5.0
110,106.0,12.0,6.0,5.0
114,1.0,1.0,6.0,5.0
120,12.0,12.0,6.0,5.0
121,107.0,98.0,6.0,5.0
124,14.0,14.0,6.0,5.0
135,69.0,66.0,6.0,5.0
139,164.0,153.0,6.0,5.0
142,51.0,48.0,6.0,5.0
145,175.0,4.0,6.0,5.0
162,16.0,2.0,6.0,5.0
169,,26.0,,5.0
171,95.0,90.0,6.0,5.0
187,53.0,50.0,6.0,5.0
188,97.0,91.0,6.0,5.0
191,9.0,9.0,6.0,5.0
224,48.0,45.0,6.0,5.0
236,197.0,183.0,6.0,5.0
241,178.0,165.0,6.0,5.0
244,169.0,158.0,6.0,5.0
257,206.0,192.0,6.0,5.0
264,207.0,160.0,6.0,5.0
278,52.0,49.0,6.0,5.0
281,4.0,4.0,6.0,5.0
291,150.0,140.0,6.0,5.0
294,90.0,87.0,6.0,5.0
296,26.0,24.0,6.0,5.0
298,76.0,73.0,6.0,5.0
299,18.0,16.0,6.0,5.0
301,261.0,242.0,6.0,5.0
321,155.0,144.0,6.0,5.0
357,120.0,112.0,6.0,5.0
378,132.0,123.0,6.0,5.0
384,58.0,56.0,6.0,5.0
395,42.0,40.0,6.0,5.0
402,126.0,118.0,6.0,5.0
407,171.0,160.0,6.0,5.0
429,6.0,6.0,6.0,5.0
441,127.0,9.0,6.0,5.0
447,173.0,162.0,6.0,5.0
449,44.0,41.0,6.0,5.0
451,174.0,4.0,6.0,5.0
455,156.0,145.0,6.0,5.0
470,15.0,15.0,6.0,5.0
477,74.0,71.0,6.0,5.0
489,84.0,81.0,6.0,5.0
507,268.0,248.0,6.0,5.0
510,231.0,215.0,6.0,5.0
512,78.0,75.0,6.0,5.0
534,189.0,75.0,6.0,5.0
555,98.0,2.0,6.0,5.0
568,208.0,193.0,6.0,5.0
574,237.0,220.0,6.0,5.0
577,88.0,85.0,6.0,5.0
580,196.0,182.0,6.0,5.0
584,240.0,223.0,6.0,5.0
631,68.0,65.0,6.0,5.0
642,224.0,208.0,6.0,5.0
646,36.0,34.0,6.0,5.0
691,29.0,27.0,6.0,5.0
723,43.0,7.0,6.0,5.0
760,144.0,135.0,6.0,5.0
779,103.0,96.0,6.0,5.0
785,254.0,208.0,6.0,5.0
793,86.0,83.0,6.0,5.0
806,188.0,175.0,6.0,5.0
807,134.0,125.0,6.0,5.0
817,186.0,173.0,6.0,5.0
819,250.0,233.0,6.0,5.0
856,140.0,131.0,6.0,5.0
860,225.0,209.0,6.0,5.0
863,226.0,210.0,6.0,5.0
900,,2.0,,5.0
903,75.0,72.0,6.0,5.0
999,49.0,46.0,6.0,5.0
1009,,68.0,,5.0
1024,121.0,113.0,6.0,5.0
1038,241.0,224.0,6.0,5.0
1074,232.0,216.0,6.0,5.0
1095,152.0,142.0,6.0,5.0
1098,153.0,143.0,6.0,5.0
1110,67.0,64.0,6.0,5.0
1116,,40.0,,5.0
1180,151.0,141.0,6.0,5.0
1181,180.0,167.0,6.0,5.0
1203,47.0,44.0,6.0,5.0
1219,118.0,109.0,6.0,5.0
1251,87.0,84.0,6.0,5.0
1268,131.0,122.0,6.0,5.0
1276,154.0,144.0,6.0,5.0
1327,54.0,51.0,6.0,5.0
1358,85.0,82.0,6.0,5.0
1373,37.0,35.0,6.0,5.0
1431,172.0,161.0,6.0,5.0
1452,93.0,4.0,6.0,5.0
1468,190.0,176.0,6.0,5.0
1555,,93.0,,5.0
1556,109.0,100.0,6.0,5.0
1583,198.0,184.0,6.0,5.0
1847,,72.0,,5.0
1852,203.0,189.0,6.0,5.0
2041,,81.0,,5.0
2189,100.0,93.0,6.0,5.0
2230,179.0,166.0,6.0,5.0
2276,230.0,214.0,6.0,5.0
2399,91.0,88.0,6.0,5.0
2650,130.0,121.0,6.0,5.0
2971,83.0,80.0,6.0,5.0
